eventID,pmtID,x(mm),y(mm),z(mm),energy(MeV),x0(mm),y0(mm),z0(mm)
0,6282,-443.2,291.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6889,-428.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,7095,-423.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6886,-428.2,271.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6682,-433.2,271.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,7094,-423.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2698,-543.2,296.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3865,-508.2,361.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2845,-538.2,246.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,4579,-488.2,371.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2844,-538.2,241.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3660,-513.2,201.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,11059,-333.2,306.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3520,-518.2,351.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,4725,-483.2,186.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,7115,-423.2,386.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,11283,-328.2,266.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,11060,-333.2,311.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3352,-523.2,346.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,8816,-383.2,371.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,9036,-378.2,371.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2692,-543.2,266.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2695,-543.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3834,-508.2,206.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,7701,-408.2,176.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6705,-433.2,386.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6867,-428.2,176.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,2696,-543.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,5096,-473.2,181.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,3326,-523.2,216.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6481,-438.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6280,-443.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6684,-433.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6888,-428.2,281.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6479,-438.2,271.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6685,-433.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6683,-433.2,276.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6482,-438.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6279,-443.2,276.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6480,-438.2,276.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6887,-428.2,276.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
0,6281,-443.2,286.8,210.0,51534.1691,-405.6426,312.7163,-400.0000
